MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
2.4333,25.0,4.168292682926829,1.078048780487805,1177.0,2.870731707317073,33.9,-118.18,1.55
4.061,52.0,5.8431372549019605,1.0529411764705883,1128.0,2.211764705882353,37.97,-121.3,1.136
3.4375,22.0,6.0,1.2394366197183098,461.0,3.2464788732394365,38.81,-122.66,0.833
3.1071,24.0,5.132075471698113,1.0566037735849056,442.0,4.169811320754717,36.28,-119.81,0.561
2.0655,37.0,4.684210526315789,1.1345029239766082,1553.0,4.54093567251462,33.96,-118.24,0.934
4.625,13.0,4.671711292200233,1.0512223515715948,1999.0,2.3271245634458673,33.7,-117.99,2.488
2.7155,36.0,4.196774193548387,1.0290322580645161,2780.0,4.483870967741935,34.28,-118.45,1.498
7.0001,26.0,6.960164835164835,1.0302197802197801,1996.0,2.741758241758242,37.46,-122.26,5.00001
3.1792,31.0,3.712328767123288,0.9715489989462592,2660.0,2.802950474183351,33.79,-117.86,1.464
2.7045,36.0,4.949367088607595,0.9367088607594937,171.0,2.1645569620253164,38.01,-121.32,1.028
6.8872,2.0,10.27217125382263,1.311926605504587,2012.0,3.076452599388379,38.3,-122.08,3.052
2.0,37.0,4.874239350912779,1.1156186612576064,1234.0,2.5030425963488843,34.13,-117.26,0.721
3.0441,17.0,5.292328042328043,1.0767195767195767,2313.0,3.0595238095238093,34.65,-118.21,1.401
4.3429,9.0,6.17828418230563,1.0697050938337802,2582.0,3.46112600536193,33.26,-117.26,1.739
4.538,3.0,5.7654417513682565,1.129007036747459,3214.0,2.5129007036747457,33.52,-117.69,2.782
2.293,29.0,4.593167701863354,1.049689440993789,1408.0,4.372670807453416,36.61,-120.19,0.572
6.7274,5.0,5.910931174089069,0.9649122807017544,1913.0,2.5816464237516867,33.84,-117.77,2.664
1.5781,16.0,4.988549618320611,1.0973282442748091,1163.0,2.219465648854962,34.4,-118.9,1.344
5.2962,38.0,6.148148148148148,1.0101010101010102,793.0,2.67003367003367,34.14,-118.19,2.915
4.8625,20.0,4.694006309148265,1.2082018927444795,1227.0,1.9353312302839116,37.38,-122.06,2.625
4.5491,43.0,5.984848484848484,1.0454545454545454,657.0,3.3181818181818183,34.12,-118.01,2.148
5.4038,26.0,6.028125,0.915625,1067.0,3.334375,34.26,-118.76,2.221
9.272,40.0,7.372340425531915,0.950354609929078,720.0,2.5531914893617023,34.04,-118.4,5.00001
3.455,37.0,6.450980392156863,1.061624649859944,1026.0,2.8739495798319328,32.63,-117.07,1.569
3.0536,49.0,3.6653061224489796,0.9959183673469387,779.0,3.179591836734694,37.78,-122.21,1.375
